heterosked,loss,avg_mse,avg_mae,avg_bias,n_experiments,max_mcse_bias,max_mcse_mse
linear,qhuber,0.07817807220998316,0.1531153499524829,0.039280373408742124,2880,0.006304163156388778,0.03609361140510741
linear,pinball,0.07820983481239001,0.145663247740964,0.028120877250989988,360,0.006109115577700064,0.032027899325428495
linear,logcosh,4.347583989550595,0.48232831081132943,0.362380274423639,2880,0.006096472163320724,0.07456197557225
none,qhuber,0.06418426339687369,0.12885010929011398,0.03535453013464994,2880,0.006203905554417725,0.0369437940445552
none,pinball,0.067473624511619,0.12276828494613641,0.02602873150358539,360,0.0060382767858026464,0.03266390533461755
none,logcosh,4.524162448413697,0.4776405930344333,0.37288660416336844,2880,0.0061553387591369866,0.07428360938197599
quadratic,pinball,0.07815169297855958,0.145809770638634,0.02786626564675355,360,0.006378247377859203,0.03080881811257338
quadratic,qhuber,0.07833536849328174,0.1535625324175711,0.03904194810712628,2880,0.006531618831407495,0.034926058415391106
quadratic,logcosh,4.339199239242623,0.483875278633388,0.3623547730142464,2880,0.006436569598749999,0.07351143010039947
