experiment_id,scenario_id,n,beta_name,err_dist,contamination,contam_scale,heterosked,tau,loss,k_param,c_param,n_reps,mean_bias,mean_mse,mean_mae,mean_time,conv_rate,mean_iter,mcse_bias,mcse_mse,mcse_mae,mcse_conv,mcse_time,mcse_iter,bias_precision,conv_precision,overall_precision
12167,1,200,sparse,normal,0,10,none,0.1,logcosh,NA,2,1000,-0.014188111067898372,0.017053241439420372,0.10438784523931904,0.003973682165145874,1,24.781,8.121354724967752e-4,3.107247732246576e-4,0.0010184656154796049,0,9.606623888360423e-5,0.08415533923121646,Excellent,Excellent,Adequate
12168,1,200,sparse,normal,0,10,none,0.1,logcosh,NA,10,1000,0.001511379388120676,0.02040450127085102,0.11346674913476734,0.00603611946105957,1,29.991,9.23927416044289e-4,3.829945159199522e-4,0.00111496569551046,0,7.771885030811693e-5,0.12057967680524964,Excellent,Excellent,Adequate
306,1,200,sparse,normal,0,10,none,0.1,pinball,NA,NA,1000,0.002571320271013771,0.02096759869652477,0.11495683621405176,0.008306189060211182,1,104.733,9.513758615456325e-4,3.940761387803395e-4,0.0011067411273713978,0,1.1003319873450967e-4,1.0602130742274227,Excellent,Excellent,Adequate
12175,1,200,sparse,normal,0,10,none,0.25,logcosh,NA,2,1000,-0.006760872874818174,0.011295658997870816,0.08414134876707033,0.003416656255722046,1,20.145,6.498152248700618e-4,2.1526230772176292e-4,8.444753990535459e-4,0,3.5739437161626565e-5,0.056045660992766574,Excellent,Excellent,Adequate
12176,1,200,sparse,normal,0,10,none,0.25,logcosh,NA,10,1000,0.0011815863539855012,0.013420024265965348,0.09227661324207091,0.004376953363418579,1,24.308,7.445884660450039e-4,2.4486945252086316e-4,8.693864356169232e-4,0,4.516488403995743e-5,0.08117712563108972,Excellent,Excellent,Adequate
307,1,200,sparse,normal,0,10,none,0.25,pinball,NA,NA,1000,0.001471338769893021,0.014073374694181545,0.09411483350281025,0.00753371524810791,1,92.716,7.778871335865597e-4,2.643482968130899e-4,9.140454514933911e-4,0,1.0845319001446675e-4,0.9523351753906217,Excellent,Excellent,Adequate
12177,1,200,sparse,normal,0,10,none,0.5,logcosh,NA,0.05,1000,-2.910624129066083e-4,0.007744249562763136,0.06940131906351643,0.002818702936172485,1,16.229,5.565200586579635e-4,1.5139320520702245e-4,7.016588878785177e-4,0,3.762394306244771e-5,0.0462676960707976,Excellent,Excellent,Adequate
3544,1,200,sparse,normal,0,10,none,0.5,qhuber,10,NA,1000,-3.1433036634347496e-4,0.007851121431808229,0.07057150345726504,0.001848923683166504,1,16.586,5.69248271480655e-4,1.3853891722491563e-4,6.447953013011341e-4,0,2.1811249568865108e-5,0.04219460136539252,Excellent,Excellent,Adequate
12179,1,200,sparse,normal,0,10,none,0.5,logcosh,NA,0.3,1000,0.0011821753339720286,0.007911152272145644,0.07038703390406485,0.0030458402633666993,1,17.568,5.76131233905967e-4,1.4957742786477038e-4,6.863626792533605e-4,0,3.4006112587637265e-5,0.04387825544961082,Excellent,Excellent,Adequate
12191,1,200,sparse,normal,0,10,none,0.75,logcosh,NA,2,1000,0.005460664222366002,0.011026363001889512,0.08390000285294547,0.0031997778415679932,1,18.925,6.89648762503861e-4,2.0176142951563005e-4,7.982024897560227e-4,0,9.124719726419503e-5,0.050058774264666935,Excellent,Excellent,Adequate
